participant_id,1,2,3,4,5,6,7,8,9,10
1211910,345.777777778,364.375,343.111111111,387.125,349.375,362.5,418.0,402.0,403.125,433.0
1316438,301.125,338.333333333,349.714285714,422.0,308.0,310.875,327.428571429,358.125,345.333333333,378.666666667
1332972,388.888888889,332.142857143,378.375,337.142857143,360.857142857,350.285714286,394.625,377.75,333.571428571,353.2
1406813,412.375,489.555555556,457.571428571,412.5,423.285714286,438.571428571,487.666666667,402.142857143,418.166666667,426.4
1436601,379.142857143,376.375,433.888888889,420.6,471.428571429,378.5,435.363636364,421.625,452.625,419.714285714
1460169,318.777777778,318.0,360.75,309.333333333,331.857142857,356.25,332.6,351.875,383.571428571,322.0
1504906,433.666666667,309.285714286,335.0,379.666666667,350.8,332.111111111,312.428571429,346.444444444,348.571428571,323.428571429
1506576,303.333333333,275.666666667,324.888888889,293.714285714,294.555555556,282.222222222,305.25,298.375,309.5,306.111111111
1512159,337.142857143,346.833333333,334.857142857,374.0,301.333333333,328.75,351.285714286,371.142857143,396.888888889,297.0
1514405,375.333333333,350.714285714,341.142857143,359.111111111,362.333333333,337.142857143,335.571428571,399.166666667,393.333333333,415.0
1517805,286.5,314.777777778,289.666666667,332.8,370.25,311.142857143,378.125,328.666666667,402.0,328.428571429
1522976,311.75,276.909090909,320.090909091,299.375,310.285714286,320.9,323.75,313.714285714,315.875,325.142857143
1524902,395.0,394.857142857,384.571428571,466.875,352.285714286,360.0,381.571428571,446.4,431.375,405.142857143
1527644,326.75,305.5,296.0,319.5,293.888888889,327.4,310.333333333,253.166666667,300.333333333,294.0
1529920,578.875,464.285714286,437.625,500.125,417.571428571,398.666666667,496.428571429,525.75,525.2,505.375
1530539,308.625,281.5,280.333333333,323.375,252.5,360.75,298.0,424.142857143,364.111111111,375.25
1535741,302.5,311.444444444,314.142857143,327.454545455,302.444444444,310.714285714,325.875,334.0,317.5,377.375
1556744,381.7,393.222222222,391.0,341.571428571,367.375,379.8,456.375,384.0,458.5,413.111111111
1606678,352.222222222,417.666666667,371.0,383.111111111,403.0,382.7,381.857142857,396.444444444,406.428571429,415.0
1621347,366.555555556,351.75,347.714285714,419.625,400.75,363.714285714,385.25,485.714285714,436.428571429,365.285714286
1627781,312.25,268.5,316.0,352.375,284.2,323.285714286,296.833333333,324.833333333,338.875,357.625
1629216,307.375,316.625,336.222222222,311.142857143,344.555555556,310.142857143,305.666666667,286.857142857,337.333333333,302.125
1641638,287.7,340.571428571,298.5,311.2,380.777777778,306.428571429,350.125,339.454545455,336.857142857,363.666666667
1642612,319.9,316.0,288.833333333,320.444444444,290.571428571,292.666666667,351.666666667,368.125,362.0,330.555555556
1643644,280.111111111,275.0,301.375,308.5,285.333333333,316.375,321.142857143,376.333333333,346.25,322.625
C1214313,302.875,294.0,307.25,287.142857143,293.875,281.0,309.666666667,356.444444444,313.363636364,260.555555556
C1228296,349.0,327.5,284.5,303.444444444,339.375,353.090909091,378.285714286,324.25,361.75,353.444444444
C1234417,281.75,308.75,294.125,304.714285714,300.428571429,304.8,275.125,299.571428571,302.777777778,312.666666667
C1320593,336.9,333.0,347.0,362.111111111,365.428571429,314.25,343.0,414.285714286,393.142857143,359.5
C1406813,323.333333333,330.142857143,351.777777778,346.777777778,394.5,349.25,394.571428571,331.888888889,318.571428571,355.909090909
C1414041,378.375,364.714285714,397.666666667,431.571428571,451.25,417.625,534.111111111,410.75,484.714285714,491.0
C1431852,297.555555556,308.571428571,312.5,346.333333333,322.333333333,312.777777778,325.0,337.777777778,341.571428571,352.111111111
C1436560,342.0,354.0,328.375,326.1,367.333333333,326.571428571,328.875,284.125,321.111111111,289.777777778
C1442429,295.454545455,280.75,277.142857143,302.571428571,287.0,313.125,293.375,311.625,331.0,301.222222222
C1504038,307.375,299.0,288.444444444,313.25,277.555555556,310.625,299.875,310.444444444,321.571428571,298.111111111
C1512051,336.444444444,402.0,436.333333333,423.777777778,673.5,517.5,451.4,522.111111111,520.555555556,467.875
C1512071,310.9,322.222222222,317.142857143,339.125,360.833333333,368.0,353.666666667,358.333333333,348.857142857,348.444444444
C1515382,317.555555556,341.333333333,353.428571429,351.888888889,335.0,402.285714286,333.333333333,403.375,371.333333333,366.125
C1516633,346.111111111,330.125,318.0,332.571428571,348.142857143,368.75,365.5,369.375,354.444444444,357.666666667
C1518993,310.333333333,337.555555556,320.666666667,353.25,368.888888889,341.25,375.777777778,338.444444444,400.857142857,389.3
C1519331,396.7,350.714285714,364.666666667,385.222222222,371.75,460.875,443.166666667,356.857142857,399.875,364.0
C1519725,352.75,296.285714286,327.222222222,290.428571429,319.571428571,295.1,338.0,359.181818182,317.625,309.0
C1524781,382.0,321.555555556,278.125,262.222222222,274.666666667,267.0,303.555555556,274.142857143,316.625,335.5
C1525463,329.714285714,413.333333333,330.285714286,397.285714286,354.0,368.222222222,340.375,322.428571429,336.875,331.142857143
C1526103,357.222222222,348.5,393.714285714,453.857142857,413.555555556,355.142857143,336.9,403.428571429,383.777777778,365.625
C1528257,348.090909091,357.444444444,345.875,368.75,374.75,321.666666667,388.625,390.777777778,377.222222222,389.444444444
C1543535,300.625,273.333333333,316.571428571,301.285714286,305.909090909,393.714285714,323.5,307.857142857,320.0,363.666666667
C1556488,410.714285714,394.571428571,374.142857143,342.0,383.25,437.222222222,475.625,440.5,411.5,405.428571429
C1600521,319.111111111,311.428571429,348.333333333,353.555555556,365.25,316.75,309.0,360.142857143,379.875,358.375
C1604472,360.9,327.625,318.875,296.5,341.666666667,317.875,301.888888889,310.857142857,322.875,356.6
C1606273,401.625,423.571428571,430.875,469.625,413.666666667,567.571428571,386.285714286,423.0,390.571428571,580.5
C1607048,326.714285714,334.25,315.5,359.3,418.0,376.571428571,357.727272727,387.0,390.875,395.125
C1608169,347.25,288.0,320.0,338.0,305.6,313.5,297.0,320.142857143,342.222222222,352.363636364
C1609356,309.714285714,406.777777778,323.444444444,371.125,348.222222222,305.0,363.75,351.875,423.0,410.125
C1614245,370.0,320.857142857,341.25,400.125,347.555555556,381.714285714,401.5,366.0,379.25,368.333333333
