participant_id,1,2,3,4,5,6,7,8,9,10
1211910,349.4,350.666666667,412.428571429,402.714285714,396.0,386.25,336.571428571,339.375,351.0,329.555555556
1316438,296.555555556,336.222222222,330.75,329.125,318.857142857,296.428571429,355.888888889,282.5,302.285714286,342.25
1332972,318.75,302.0,322.375,314.375,372.0,340.125,336.285714286,380.571428571,344.666666667,378.75
1406813,338.571428571,313.666666667,307.071428571,315.25,303.25,320.166666667,324.857142857,306.285714286,313.125,322.555555556
1436601,353.571428571,427.0,499.625,370.0,423.666666667,394.0,504.0,398.857142857,471.25,534.875
1460169,282.428571429,344.714285714,316.9,343.333333333,309.888888889,323.25,292.875,390.222222222,377.1,342.0
1504906,304.857142857,340.125,378.8,311.75,339.4,381.428571429,328.285714286,394.5,402.75,379.222222222
1506576,271.125,328.571428571,375.0,355.125,331.0,336.625,323.285714286,349.222222222,336.857142857,321.444444444
1512159,347.3,357.363636364,398.555555556,393.5,405.75,420.25,391.555555556,423.666666667,397.333333333,324.875
1514405,348.125,328.111111111,331.7,313.375,309.666666667,332.857142857,324.875,311.444444444,359.888888889,359.714285714
1517805,333.75,321.75,320.857142857,350.0,331.142857143,343.875,357.857142857,327.714285714,317.142857143,399.571428571
1522976,270.625,296.125,347.666666667,302.875,338.666666667,328.142857143,322.375,299.5,308.285714286,314.625
1524902,406.875,358.75,360.571428571,395.888888889,391.285714286,400.375,378.545454545,389.1,386.777777778,398.888888889
1527644,314.625,335.333333333,283.125,325.555555556,337.75,343.857142857,282.333333333,298.428571429,297.333333333,286.75
1529920,463.333333333,424.777777778,468.5,423.285714286,433.0,456.285714286,456.5,432.5,419.888888889,447.666666667
1530539,281.555555556,265.375,256.0,262.25,340.0,316.111111111,273.857142857,276.0,290.375,303.0
1535741,297.2,296.0,292.111111111,313.666666667,296.25,319.8,337.0,320.428571429,306.454545455,294.166666667
1556744,349.1,358.125,362.777777778,387.142857143,393.125,435.625,403.571428571,444.375,415.0,400.0
1606678,336.285714286,356.125,348.285714286,425.75,375.666666667,309.181818182,300.666666667,398.3,316.333333333,416.666666667
1621347,449.111111111,473.5,334.166666667,378.571428571,472.625,447.555555556,370.0,412.428571429,437.888888889,436.75
1627781,342.4,348.0,304.333333333,278.5,326.4,321.25,336.285714286,364.625,360.0,459.375
1629216,312.571428571,346.125,366.428571429,360.0,332.0,344.714285714,337.888888889,373.75,386.25,356.0
1641638,309.857142857,291.428571429,333.625,329.0,335.25,335.0,337.777777778,347.375,399.375,389.0
1642612,310.428571429,292.125,289.5,332.625,312.888888889,313.25,315.375,362.0,334.1,292.285714286
1643644,311.555555556,290.0,310.5,323.0,342.5,347.333333333,327.125,390.2,359.714285714,345.777777778
C1214313,318.0,281.0,320.0,346.75,260.142857143,402.428571429,457.75,315.75,257.714285714,306.125
C1228296,333.090909091,335.875,387.545454545,398.428571429,413.0,386.777777778,404.571428571,444.777777778,337.857142857,360.222222222
C1234417,285.571428571,288.25,312.285714286,337.444444444,315.375,310.444444444,322.444444444,324.857142857,374.5,294.6
C1320593,375.111111111,414.1,370.444444444,453.0,413.166666667,467.444444444,398.875,420.25,443.285714286,530.375
C1406813,338.571428571,313.666666667,307.071428571,315.25,303.25,320.166666667,324.857142857,306.285714286,313.125,322.555555556
C1414041,358.0,344.555555556,363.2,391.555555556,363.0,356.555555556,362.428571429,416.75,375.0,361.666666667
C1431852,298.7,302.75,291.714285714,308.555555556,300.444444444,299.833333333,321.428571429,316.857142857,318.444444444,301.125
C1436560,332.666666667,337.375,311.571428571,316.0,326.625,290.714285714,319.875,335.875,334.875,344.142857143
C1442429,297.333333333,301.444444444,295.375,294.222222222,311.2,282.111111111,316.6,314.0,318.125,274.2
C1504038,310.8,330.555555556,302.666666667,330.142857143,371.5,323.125,317.5,322.272727273,307.888888889,334.666666667
C1512051,403.857142857,398.714285714,437.444444444,507.285714286,485.5,507.111111111,511.25,449.222222222,511.125,454.75
C1512071,305.625,297.777777778,293.875,295.444444444,386.625,293.25,327.555555556,366.75,351.625,393.0
C1515382,345.4,352.166666667,409.625,380.25,346.4,368.6,347.857142857,406.333333333,355.833333333,365.8
C1516633,329.75,308.125,323.5,311.428571429,315.125,328.857142857,290.875,300.75,306.5,331.428571429
C1518993,320.625,344.375,357.714285714,351.888888889,357.285714286,353.111111111,332.875,303.444444444,341.0,357.111111111
C1519331,363.75,326.375,361.222222222,322.5,333.25,338.875,316.125,316.142857143,349.833333333,376.142857143
C1519725,351.555555556,287.5,322.454545455,328.285714286,335.0,284.7,301.875,379.125,349.8,334.5
C1524781,362.125,334.5,393.444444444,366.333333333,366.571428571,397.75,378.5,367.428571429,443.888888889,382.0
C1525463,378.25,301.444444444,326.875,314.857142857,318.571428571,320.0,320.777777778,342.888888889,367.8,342.428571429
C1526103,417.571428571,377.0,365.142857143,386.375,429.75,436.8,407.0,368.25,388.666666667,387.333333333
C1528257,317.333333333,318.0,350.666666667,382.0,316.142857143,379.888888889,335.75,446.666666667,368.0,342.444444444
C1543535,301.714285714,318.3,280.333333333,306.5,336.0,338.125,305.375,322.25,344.142857143,338.714285714
C1556488,400.666666667,412.625,399.875,421.142857143,438.2,427.8,408.625,358.5,398.0,392.285714286
C1600521,377.222222222,402.857142857,380.125,472.7,397.888888889,388.857142857,388.571428571,468.25,428.166666667,428.25
C1604472,323.125,344.0,353.428571429,385.875,339.625,458.111111111,420.777777778,344.428571429,341.875,421.222222222
C1606273,445.375,506.833333333,427.166666667,430.666666667,497.666666667,517.875,523.833333333,475.8,544.5,455.888888889
C1607048,390.875,431.666666667,421.333333333,424.333333333,383.875,398.111111111,369.285714286,412.285714286,399.25,441.625
C1608169,328.222222222,343.545454545,300.666666667,312.833333333,347.4,370.714285714,401.125,356.75,422.875,365.5
C1609356,368.0,391.5,341.125,378.444444444,369.857142857,379.125,429.857142857,435.777777778,405.111111111,426.125
C1614245,341.0,377.0,312.142857143,373.625,340.2,469.5,347.5,349.888888889,446.0,334.875
C1615465,316.2,348.857142857,334.625,394.285714286,349.0,346.1,391.777777778,349.125,392.857142857,455.625
C1618050,330.0,356.0,343.428571429,348.777777778,386.0,353.571428571,394.111111111,432.0,385.333333333,453.571428571
C1618374,399.25,468.714285714,411.833333333,384.222222222,458.428571429,414.571428571,405.0,434.555555556,413.571428571,400.625
C1618592,350.333333333,336.5,354.285714286,375.666666667,381.25,439.714285714,402.111111111,333.875,458.5,461.333333333
C1620200,362.666666667,335.5,342.857142857,343.888888889,387.444444444,354.444444444,350.125,326.571428571,402.0,361.75
C1621027,291.3,343.6,289.428571429,339.0,374.285714286,381.333333333,349.0,365.375,283.714285714,430.428571429
C1622201,277.333333333,307.75,296.0,278.5,317.555555556,328.0,278.0,278.75,287.272727273,307.8
