participant_id,1,2,3,4,5,6,7,8,9,10
1211910,349.4,350.666666667,397.166666667,380.0,374.166666667,366.285714286,336.571428571,339.375,351.0,329.555555556
1460169,282.428571429,344.714285714,292.777777778,343.333333333,309.888888889,323.25,292.875,329.714285714,377.1,342.0
1504906,304.857142857,340.125,363.111111111,311.75,339.4,345.166666667,328.285714286,394.5,364.0,363.125
1506576,271.125,328.571428571,353.833333333,355.125,331.0,336.625,323.285714286,328.0,336.857142857,321.444444444
1512159,347.3,357.363636364,398.555555556,393.5,405.75,406.0,391.555555556,423.666666667,382.0,324.875
1514405,326.75,311.111111111,334.888888889,313.375,306.375,340.666666667,318.375,325.0,353.25,372.142857143
1517805,333.75,321.75,320.857142857,350.0,331.142857143,343.875,357.857142857,327.714285714,317.142857143,379.0
1524902,387.285714286,358.75,360.571428571,395.888888889,391.285714286,400.375,378.545454545,389.1,368.375,398.888888889
1529920,390.333333333,370.833333333,407.142857143,407.666666667,395.8,435.666666667,405.25,401.0,380.857142857,431.875
1535741,297.2,296.0,292.111111111,313.666666667,296.25,319.8,337.0,320.428571429,306.454545455,294.166666667
1556744,349.1,322.857142857,362.777777778,387.142857143,393.125,421.571428571,348.2,431.0,378.833333333,349.333333333
1606678,336.285714286,356.125,348.285714286,411.428571429,375.666666667,309.181818182,300.666666667,348.888888889,316.333333333,390.8
1621347,341.714285714,393.8,334.166666667,378.571428571,411.0,389.0,370.0,385.833333333,395.571428571,422.428571429
1627781,342.4,348.0,304.333333333,278.5,326.4,321.25,336.285714286,364.625,341.75,415.166666667
1641638,309.857142857,291.428571429,333.625,329.0,335.25,335.0,337.777777778,347.375,380.428571429,389.0
1643644,311.555555556,290.0,310.5,299.125,342.5,347.333333333,327.125,318.25,336.166666667,345.777777778
C1228296,333.090909091,335.875,374.9,398.428571429,341.714285714,369.375,388.5,379.428571429,337.857142857,360.222222222
C1234417,285.571428571,288.25,312.285714286,337.444444444,315.375,310.444444444,322.444444444,324.857142857,328.333333333,294.6
C1320593,375.111111111,385.875,370.444444444,423.5,395.6,425.0,398.875,404.857142857,415.5,413.75
C1431852,298.7,271.714285714,291.714285714,308.555555556,300.444444444,299.833333333,321.428571429,316.857142857,287.125,267.571428571
C1504038,310.8,330.555555556,302.666666667,330.142857143,308.285714286,323.125,317.5,322.272727273,307.888888889,334.666666667
C1512051,379.666666667,359.833333333,408.285714286,435.333333333,411.0,424.5,437.0,389.5,425.666666667,385.8
C1525463,324.571428571,301.444444444,326.875,314.857142857,318.571428571,320.0,320.777777778,342.888888889,320.777777778,342.428571429
C1528257,317.333333333,318.0,350.666666667,352.857142857,316.142857143,329.5,335.75,400.714285714,368.0,342.444444444
C1556488,375.75,412.625,399.875,421.142857143,423.0,427.8,359.285714286,358.5,398.0,374.0
C1600521,377.222222222,381.5,380.125,418.25,397.888888889,388.857142857,388.571428571,395.857142857,388.0,412.857142857
C1606273,436.428571429,459.333333333,427.166666667,399.571428571,480.5,457.25,439.0,405.5,374.0,391.2
C1607048,371.714285714,404.8,394.8,424.333333333,383.875,383.375,369.285714286,396.166666667,374.285714286,414.833333333
C1618050,330.0,327.714285714,343.428571429,328.625,370.0,353.571428571,377.25,386.5,361.8,367.0
C1618592,315.888888889,350.0,354.75,366.5,382.428571429,385.4,395.3,333.857142857,412.2,391.833333333
C1620200,362.666666667,335.5,342.857142857,343.888888889,387.444444444,354.444444444,350.125,326.571428571,402.0,361.75
C1626643,304.444444444,262.833333333,354.625,354.0,351.142857143,344.0,354.375,345.222222222,362.0,324.5
C1626757,320.0,339.285714286,328.5,337.285714286,317.375,331.714285714,364.0,288.428571429,314.75,301.428571429
C1634963,328.625,346.571428571,298.875,332.875,367.666666667,347.833333333,345.375,338.5,333.3,328.125
C1640091,333.3,353.142857143,341.857142857,339.428571429,362.5,361.142857143,388.666666667,409.333333333,349.428571429,325.2
C1642268,258.25,279.222222222,260.285714286,271.555555556,272.4,247.714285714,265.875,275.0,282.555555556,295.625
C1661087,347.5,332.375,324.25,368.857142857,336.5,328.142857143,362.714285714,314.142857143,378.166666667,348.0
