participant_id,1,2,3,4,5,6,7,8,9,10
1211910,349.0,355.666666667,381.857142857,380.142857143,361.111111111,395.125,394.25,411.5,402.333333333,418.75
1460169,327.875,322.666666667,346.888888889,333.142857143,381.714285714,376.142857143,387.0,367.25,377.857142857,419.0
1504906,343.727272727,346.125,388.555555556,330.0,328.5,333.875,345.166666667,368.0,332.75,323.666666667
1506576,292.375,335.0,305.666666667,292.5,308.75,299.3,298.428571429,295.5,305.428571429,321.5
1512159,380.777777778,399.714285714,435.4,392.25,395.428571429,439.142857143,377.5,400.142857143,441.875,421.2
1514405,318.777777778,326.857142857,325.777777778,344.375,300.714285714,343.428571429,366.0,323.0,365.125,352.5
1517805,337.5,343.142857143,417.666666667,376.1,335.111111111,333.833333333,408.5,418.666666667,395.285714286,435.0
1524902,336.111111111,368.625,412.6,412.0,408.333333333,378.6,404.571428571,384.875,423.4,424.444444444
1529920,376.777777778,393.333333333,361.375,388.25,327.714285714,373.428571429,380.0,341.888888889,321.714285714,355.222222222
1535741,309.5,329.0,324.125,343.714285714,338.777777778,308.428571429,330.111111111,339.2,341.375,372.125
1556744,359.555555556,353.666666667,355.875,339.8,331.142857143,350.25,344.285714286,361.777777778,358.666666667,387.444444444
1606678,316.0,367.428571429,285.285714286,334.833333333,335.428571429,357.166666667,387.625,358.833333333,334.0,361.125
1621347,383.285714286,397.428571429,401.8,376.75,373.2,375.875,440.428571429,390.0,424.6,452.0
1627781,338.833333333,332.666666667,347.25,400.666666667,354.666666667,343.875,365.8,409.833333333,394.25,397.25
1641638,378.0,337.0,369.8,402.285714286,388.75,408.333333333,410.2,321.2,355.25,387.666666667
1643644,276.833333333,281.777777778,299.142857143,303.285714286,317.666666667,316.714285714,350.888888889,326.857142857,328.714285714,370.875
C1228296,321.111111111,337.555555556,328.777777778,338.333333333,329.0,339.571428571,349.142857143,359.555555556,336.125,353.0
C1234417,283.2,311.857142857,311.111111111,316.25,324.125,299.333333333,370.0,333.5,304.0,303.1
C1320593,377.125,389.125,362.833333333,365.0,351.4,315.625,376.833333333,378.888888889,341.857142857,363.142857143
C1431852,295.625,292.375,277.714285714,329.666666667,315.125,321.625,286.0,275.375,317.625,285.666666667
C1504038,296.7,317.5,335.375,338.875,326.833333333,347.888888889,344.0,334.714285714,372.666666667,338.5
C1512051,388.625,415.6,391.285714286,424.0,401.857142857,425.727272727,463.25,420.285714286,410.333333333,393.333333333
C1525463,325.454545455,340.625,311.0,338.0,314.5,355.888888889,341.0,351.0,344.555555556,347.428571429
C1528257,311.75,347.875,337.571428571,325.0,295.142857143,348.142857143,340.142857143,356.25,342.4,357.125
C1556488,400.0,359.571428571,419.285714286,373.714285714,427.833333333,398.25,399.857142857,389.666666667,374.0,375.6
C1600521,338.333333333,348.888888889,372.75,357.75,334.714285714,379.428571429,408.0,417.0,354.6,418.1
C1606273,395.142857143,401.166666667,444.6,428.5,398.833333333,314.8,326.333333333,411.2,418.5,426.5
C1607048,372.0,390.125,386.571428571,390.666666667,394.25,390.142857143,437.75,416.5,447.75,374.5
C1618050,331.9,386.777777778,365.857142857,424.5,408.142857143,457.4,373.6,375.142857143,393.166666667,410.166666667
C1618592,334.857142857,366.0,354.0,410.666666667,370.166666667,376.125,394.571428571,344.571428571,385.875,426.8
C1620200,344.5,359.5,375.9,384.625,364.666666667,383.0,368.833333333,346.666666667,369.333333333,386.125
C1626643,314.5,315.0,312.125,324.75,325.333333333,337.75,379.0,333.25,359.25,361.7
C1626757,301.111111111,303.142857143,309.0,338.111111111,301.2,296.285714286,326.666666667,323.714285714,337.285714286,332.125
C1634963,352.222222222,360.714285714,372.0,350.25,366.6,363.5,394.142857143,381.428571429,381.5,387.2
C1640091,357.625,378.714285714,402.5,396.833333333,408.0,372.142857143,418.5,395.444444444,386.0,364.833333333
C1642268,247.375,284.25,310.875,287.125,306.428571429,270.833333333,265.0,317.428571429,285.333333333,363.375
C1661087,340.25,351.0,355.0,340.375,367.75,378.666666667,347.857142857,360.0,397.875,409.125
