participant_id,1,2,3,4,5,6,7,8,9,10
1211910,350.142857143,355.272727273,361.285714286,368.222222222,383.0,354.0,369.666666667,407.428571429,399.833333333,403.75
1460169,353.333333333,354.2,381.333333333,380.142857143,380.0,336.5,347.444444444,416.4,393.571428571,356.857142857
1504906,331.625,346.3,350.5,317.166666667,369.857142857,385.222222222,345.714285714,375.0,369.666666667,385.5
1506576,304.272727273,295.0,352.444444444,313.714285714,331.1,301.857142857,340.0,325.428571429,323.111111111,322.125
1512159,397.125,383.857142857,423.75,381.375,402.625,414.857142857,349.833333333,387.142857143,395.375,397.5
1514405,325.0,323.5,297.833333333,313.111111111,275.833333333,289.25,320.125,324.375,293.5,323.888888889
1517805,404.833333333,419.2,410.0,410.0,412.833333333,423.25,416.25,387.333333333,464.0,418.5
1524902,349.285714286,386.833333333,360.625,383.25,419.428571429,411.0,397.25,398.25,388.0,435.8
1529920,376.571428571,357.285714286,362.25,369.333333333,353.857142857,418.0,405.571428571,394.111111111,370.4,394.5
1535741,302.8,336.8,301.714285714,322.857142857,344.428571429,325.888888889,308.625,322.857142857,329.888888889,366.285714286
1556744,339.375,383.5,349.166666667,409.125,355.571428571,387.166666667,391.875,353.625,406.125,392.857142857
1606678,344.0,348.0,323.5,343.0,348.444444444,392.857142857,369.25,367.0,359.0,368.285714286
1621347,417.333333333,456.6,423.833333333,446.666666667,467.5,456.25,458.5,415.666666667,467.75,434.5
1627781,338.833333333,321.857142857,351.8,401.0,413.0,406.714285714,375.4,365.5,356.666666667,386.0
1641638,348.0,367.833333333,382.571428571,382.833333333,354.375,430.666666667,388.666666667,397.0,421.25,389.857142857
1643644,313.7,339.222222222,308.375,324.25,330.5,338.666666667,362.333333333,332.142857143,379.444444444,338.4
C1228296,317.3,318.5,328.333333333,350.555555556,337.777777778,326.0,387.875,364.5,394.0,373.125
C1234417,326.428571429,330.714285714,317.571428571,370.666666667,347.666666667,343.5,341.875,338.25,294.142857143,338.0
C1320593,412.666666667,389.571428571,371.666666667,396.5,383.857142857,383.8,382.6,384.428571429,419.666666667,387.111111111
C1431852,291.571428571,297.571428571,310.75,343.5,320.625,318.833333333,348.222222222,304.833333333,333.125,324.571428571
C1504038,317.0,359.285714286,363.25,378.0,401.285714286,352.25,376.25,406.428571429,343.666666667,362.0
C1512051,296.666666667,312.428571429,353.666666667,349.0,347.0,372.5,381.0,399.375,399.2,409.666666667
C1525463,312.625,326.166666667,326.555555556,342.555555556,333.0,348.888888889,402.666666667,360.166666667,356.0,346.714285714
C1528257,348.833333333,325.0,350.666666667,329.142857143,367.555555556,385.833333333,350.125,303.125,327.888888889,352.25
C1556488,398.727272727,379.166666667,381.571428571,409.4,423.25,409.142857143,365.0,438.5,431.857142857,409.857142857
C1600521,348.142857143,362.571428571,352.142857143,369.0,351.5,356.0,340.714285714,430.0,367.2,381.75
C1606273,442.0,395.2,436.25,442.428571429,382.25,445.0,388.5,470.0,417.666666667,449.333333333
C1607048,430.166666667,407.555555556,416.833333333,423.5,440.5,410.75,413.333333333,422.142857143,408.166666667,411.0
C1618050,369.625,325.8,402.285714286,391.6,390.333333333,369.222222222,389.571428571,341.714285714,332.0,382.857142857
C1618592,366.2,383.833333333,363.142857143,367.166666667,386.0,369.5,376.833333333,358.125,393.0,415.0
C1620200,367.571428571,386.25,330.428571429,399.875,399.666666667,403.444444444,424.833333333,379.166666667,347.6,399.666666667
C1626643,362.75,349.777777778,319.142857143,352.222222222,329.5,402.833333333,334.0,336.333333333,334.714285714,323.333333333
C1626757,345.6,319.857142857,322.222222222,321.285714286,328.0,318.888888889,317.75,327.6,306.714285714,357.0
C1634963,360.111111111,392.25,354.428571429,356.6,341.888888889,330.888888889,334.75,292.875,357.625,377.0
C1640091,357.333333333,339.428571429,381.555555556,370.142857143,403.857142857,397.833333333,388.428571429,389.444444444,404.333333333,394.0
C1642268,275.285714286,299.714285714,313.142857143,296.142857143,297.285714286,330.25,311.75,289.5,278.875,301.0
C1661087,388.272727273,364.857142857,362.0,411.666666667,354.75,369.375,363.625,382.888888889,413.111111111,387.166666667
