participant_id,1,2,3,4,5,6,7,8,9,10
c1210910,333.666666667,409.333333333,327.111111111,356.625,347.166666667,353.625,349.6,311.0,322.571428571,313.857142857
c1214313,302.875,294.0,307.25,287.142857143,293.875,281.0,309.666666667,356.444444444,313.363636364,260.555555556
c1219715,457.222222222,469.428571429,544.375,540.0,507.375,468.333333333,451.818181818,495.714285714,502.833333333,550.333333333
c1316438,301.125,338.333333333,349.714285714,422.0,308.0,310.875,327.428571429,358.125,345.333333333,378.666666667
c1332603,706.333333333,748.888888889,633.875,648.166666667,733.5,689.25,596.714285714,458.444444444,467.142857143,490.666666667
c1332972,388.888888889,332.142857143,378.375,337.142857143,360.857142857,350.285714286,394.625,377.75,333.571428571,353.2
c1406813,412.375,489.555555556,457.571428571,412.5,423.285714286,438.571428571,487.666666667,402.142857143,418.166666667,426.4
c1414041,331.5,360.5,317.666666667,342.375,317.111111111,307.8,365.666666667,347.375,389.285714286,424.875
c1422310,458.125,503.285714286,451.625,494.285714286,457.375,480.666666667,533.0,494.428571429,508.222222222,503.375
c1428155,406.5,464.142857143,499.857142857,436.5,528.857142857,433.625,439.2,612.625,496.4,413.333333333
c1429501,466.111111111,497.285714286,490.285714286,457.375,495.285714286,555.0,475.285714286,489.571428571,467.375,481.25
c1436560,342.0,354.0,328.375,326.1,367.333333333,326.571428571,328.875,284.125,321.111111111,289.777777778
c1436601,379.142857143,376.375,433.888888889,420.6,471.428571429,378.5,435.363636364,421.625,452.625,419.714285714
c1442429,295.454545455,280.75,277.142857143,302.571428571,287.0,313.125,293.375,311.625,331.0,301.222222222
c1462216,311.363636364,315.142857143,347.1,289.777777778,283.857142857,275.0,312.0,305.833333333,318.888888889,356.625
c1476575,487.0,434.727272727,506.142857143,480.428571429,501.0,464.5,497.285714286,485.0,467.75,448.857142857
c1500258,432.444444444,475.833333333,445.555555556,464.5,472.125,475.5,426.125,460.111111111,453.888888889,464.0
c1510407,417.666666667,462.888888889,485.714285714,474.333333333,507.857142857,465.375,467.714285714,484.875,463.454545455,504.142857143
c1512071,310.9,322.222222222,317.142857143,339.125,360.833333333,368.0,353.666666667,358.333333333,348.857142857,348.444444444
c1514333,456.428571429,582.571428571,482.444444444,461.9,466.375,506.5,481.5,471.75,503.0,472.75
c1520925,556.875,535.428571429,528.555555556,541.666666667,483.875,591.125,555.142857143,554.333333333,492.125,563.25
c1528148,490.25,483.444444444,510.714285714,521.3,584.2,493.0,521.142857143,507.25,548.555555556,538.625
c1530539,308.625,281.5,280.333333333,323.375,252.5,360.75,298.0,424.142857143,364.111111111,375.25
c1530965,317.125,307.857142857,322.555555556,338.0,302.0,336.0,351.25,342.111111111,380.125,355.444444444
c1574067,473.333333333,425.5,461.625,457.0,459.428571429,494.0,538.166666667,482.555555556,520.888888889,495.714285714
