participant_id,5 slowest 10%,5 fastest 10%,10 slowest 10%,10 fastest 10%,15 slowest 10%,15 fastest 10%,20 slowest 10%,20 fastest 10%,25 slowest 10%,25 fastest 10%
c1210910,370.0,292.0,519.0,295.0,377.0,237.0,397.0,275.0,352.0,296.0
c1214313,330.0,255.0,300.0,255.0,360.0,223.0,309.0,264.0,345.0,251.0
c1219715,521.0,386.0,524.0,396.0,622.0,407.0,550.0,433.0,543.0,431.0
c1316438,333.0,240.0,412.0,281.0,323.0,278.0,433.0,277.0,335.0,277.0
c1332603,745.0,517.0,824.0,572.0,756.0,494.0,690.0,570.0,796.0,636.0
c1332972,468.0,288.0,396.0,275.0,403.0,310.0,361.0,278.0,383.0,327.0
c1406813,461.0,337.0,623.0,389.0,535.0,389.0,421.0,384.0,486.0,359.0
c1414041,425.0,260.0,390.0,273.0,328.0,257.0,400.0,279.0,374.0,250.0
c1422310,481.0,404.0,536.0,411.0,498.0,401.0,554.0,424.0,472.0,419.0
c1428155,461.0,374.0,501.0,383.0,559.0,407.0,434.0,434.0,605.0,371.0
c1429501,491.0,429.0,553.0,385.0,524.0,432.0,488.0,390.0,537.0,432.0
c1436560,378.0,293.0,389.0,303.0,378.0,283.0,367.0,284.0,426.0,303.0
c1436601,397.0,289.0,456.0,286.0,617.0,312.0,475.0,301.0,591.0,293.0
c1442429,345.5,235.5,305.0,242.0,296.0,245.0,333.0,266.0,300.0,251.0
c1462216,355.5,254.0,324.0,276.0,417.0,223.0,323.0,242.0,324.0,244.0
c1476575,560.0,401.0,449.0,390.0,590.0,449.0,496.0,419.0,585.0,425.0
c1500258,481.0,384.0,525.0,389.0,504.0,381.0,473.0,354.0,540.0,400.0
c1510407,444.0,363.0,522.0,366.0,443.0,354.0,515.0,396.0,555.0,437.0
c1512071,423.0,236.0,360.0,253.0,335.0,255.0,384.0,254.0,381.0,315.0
c1514333,527.0,371.0,659.0,422.0,592.0,404.0,544.0,354.0,512.0,363.0
c1520925,663.0,438.0,589.0,444.0,643.0,421.0,691.0,395.0,545.0,418.0
c1528148,550.0,424.0,585.0,399.0,539.0,482.0,597.0,472.0,656.0,505.0
c1530539,317.0,244.0,293.0,241.0,315.0,220.0,337.0,247.0,271.0,218.0
c1530965,333.0,283.0,333.0,268.0,378.0,266.0,370.0,300.0,319.0,269.0
c1574067,513.0,396.0,458.0,378.0,465.0,414.0,513.0,409.0,480.0,414.0
