participant_id,1,2,3,4,5,6,7,8,9,10
1211910,0,0,0,2,0,0,1,1,1,1
1460169,0,0,1,0,1,0,0,1,1,0
1504906,2,0,0,1,0,1,0,0,0,0
1506576,0,0,0,0,0,0,0,0,0,0
1512159,0,0,0,0,0,0,0,0,1,0
1514405,1,0,0,0,1,0,0,0,0,1
1517805,0,0,0,0,0,0,1,0,1,0
1524902,1,0,0,1,0,0,0,1,2,0
1529920,5,2,2,3,2,0,3,2,2,3
1535741,0,0,0,1,0,0,0,0,0,0
1556744,1,1,1,0,1,0,2,0,2,1
1606678,0,1,0,0,1,0,0,0,1,0
1621347,1,0,0,1,2,0,1,1,2,0
1627781,0,0,0,1,0,0,0,0,1,1
1641638,0,0,0,0,0,0,1,0,0,0
1643644,0,0,0,0,0,0,0,1,0,0
C1228296,1,0,0,0,0,0,1,0,0,0
C1234417,0,0,0,0,0,0,0,0,0,0
C1320593,0,0,0,0,0,1,0,1,0,0
C1431852,0,0,0,0,0,0,0,0,0,1
C1504038,0,0,0,0,0,0,0,0,1,0
C1512051,0,0,2,1,6,3,1,5,2,3
C1525463,0,2,0,1,0,1,0,0,0,0
C1528257,1,1,0,0,0,0,0,1,1,0
C1556488,1,1,0,0,0,0,3,2,3,1
C1600521,0,0,0,0,0,0,0,1,0,0
C1606273,1,1,1,1,0,2,0,1,0,5
C1607048,0,0,0,1,2,0,0,1,1,0
C1618050,1,1,1,1,1,0,1,4,2,0
C1618592,0,0,0,1,2,1,1,2,0,2
C1620200,0,0,0,0,0,0,0,1,1,1
C1626643,0,0,1,0,0,0,0,1,0,0
C1626757,0,0,0,0,1,0,0,0,2,0
C1634963,0,0,1,0,2,0,0,1,1,1
C1640091,1,3,0,1,2,1,1,1,0,1
C1642268,0,1,0,0,0,0,0,0,0,0
C1661087,0,0,0,1,1,1,0,1,0,1
