participant_id,5 slowest 10%,5 fastest 10%,10 slowest 10%,10 fastest 10%,15 slowest 10%,15 fastest 10%,20 slowest 10%,20 fastest 10%,25 slowest 10%,25 fastest 10%
c1210910,421.0,254.0,365.0,238.0,402.0,270.0,495.0,299.0,517.0,300.0
c1214313,671.0,232.0,404.0,236.0,637.0,244.0,955.0,220.0,310.0,238.0
c1219715,572.5,432.0,713.0,464.0,570.0,430.0,543.0,413.0,631.0,427.0
c1316438,342.0,255.0,506.0,238.0,686.0,250.0,478.0,271.0,632.0,227.0
c1332603,769.0,444.0,748.0,456.0,649.0,391.0,952.0,423.0,727.0,421.0
c1332972,400.0,277.0,340.0,269.0,427.0,248.0,354.0,280.0,494.0,311.0
c1406813,384.0,283.0,354.0,270.0,370.0,262.5,381.0,276.0,348.0,253.0
c1414041,491.5,278.0,442.0,275.0,467.0,293.0,578.0,332.0,414.0,293.0
c1422310,614.0,380.0,555.0,428.0,703.0,462.0,833.0,409.0,677.0,407.0
c1428155 ,592.0,386.0,416.0,374.0,578.0,362.0,635.0,352.0,756.0,354.0
c1429501,502.0,382.0,609.0,397.0,551.0,366.0,637.0,459.0,nan,nan
c1436560,427.0,270.0,449.0,294.0,330.0,272.0,373.0,263.0,428.0,273.0
c1436601,394.0,308.0,715.0,326.0,762.0,350.0,490.0,323.0,793.0,302.0
c1442429,338.0,260.0,349.0,267.0,331.0,272.0,375.0,251.0,372.0,258.0
c1462216,368.0,218.0,410.0,227.0,337.0,249.0,313.0,220.0,348.0,233.0
c1476575,582.0,407.0,524.0,398.0,526.0,398.0,541.0,411.0,524.0,410.0
c1500258,613.0,403.0,540.0,376.0,590.0,418.0,578.0,406.0,683.0,402.0
c1510407,667.0,389.0,589.0,430.0,839.0,433.0,585.0,441.0,573.0,390.0
c1512071,553.0,234.0,344.0,260.0,371.0,240.0,398.0,252.0,545.0,311.0
c1514333,548.0,385.0,672.0,428.0,672.0,377.0,671.0,434.0,639.0,357.0
c1520925,543.0,443.0,579.0,411.0,650.0,397.0,692.0,412.0,709.0,465.0
c1528148,859.0,398.0,746.0,446.0,817.0,465.0,624.0,425.0,710.0,453.0
c1530539,435.0,224.0,309.0,226.0,279.0,237.0,287.0,249.0,405.0,277.0
c1530965,476.0,316.0,401.0,287.0,547.0,293.0,430.0,307.0,410.0,320.0
c1574067,770.0,368.0,964.0,505.0,893.0,461.0,928.0,487.0,659.0,539.0
